,Date,ITUB4,BBSE3,BEEF3,CMIG4,ITSA4,PETR3,PETR4,POSI3,IBOVESPA
0,2015-01-02,18.63911819458008,30.350000381469727,9.32163429260254,6.324786186218262,5.606873035430908,9.0,9.359999656677246,2.0299999713897705,47.2599983215332
1,2015-01-05,18.7327823638916,29.440000534057617,8.879152297973633,6.161725044250488,5.625216007232666,8.270000457763672,8.5600004196167,2.130000114440918,46.31999969482422
2,2015-01-06,19.035812377929688,30.690000534057617,8.751322746276855,6.107370853424072,5.6680169105529785,8.0600004196167,8.279999732971191,2.069999933242798,46.58000183105469
3,2015-01-07,19.724517822265625,30.200000762939453,9.331466674804688,6.107370853424072,5.88201904296875,8.449999809265137,8.670000076293945,2.0899999141693115,48.150001525878906
4,2015-01-08,20.03305625915528,30.11000061035156,9.29213523864746,6.057959079742432,5.94316291809082,9.020000457763672,9.229999542236328,2.1700000762939453,48.5099983215332
5,2015-01-09,19.15702438354492,29.1299991607666,9.124975204467772,5.845486164093018,5.735274791717529,9.289999961853027,9.510000228881836,2.200000047683716,47.52999877929688
6,2015-01-12,18.6942138671875,29.799999237060547,8.849653244018555,5.652777194976807,5.637444972991943,8.770000457763672,8.84000015258789,2.2100000381469727,46.83000183105469
7,2015-01-13,18.672176361083984,29.18000030517578,9.02664566040039,5.731836795806885,5.655787944793701,8.829999923706055,9.09000015258789,2.1700000762939453,46.63999938964844
8,2015-01-14,18.79889869689941,28.68000030517578,9.02664566040039,5.7614850997924805,5.686359882354736,8.5,8.90999984741211,2.1700000762939453,46.47999954223633
9,2015-01-15,18.633607864379883,29.25,9.488794326782228,5.875133037567139,5.674130916595459,9.25,9.3100004196167,2.059999942779541,47.0
10,2015-01-16,18.92011070251465,30.299999237060547,9.58712387084961,6.122194766998291,5.778075218200684,9.229999542236328,9.4399995803833,2.1700000762939453,47.59999847412109
11,2015-01-19,18.23691368103028,29.600000381469727,9.095476150512695,5.731836795806885,5.515157222747803,8.880000114440918,9.170000076293944,2.119999885559082,46.310001373291016
12,2015-01-20,18.29751968383789,29.170000076293945,8.810320854187012,5.78125,5.625216007232666,8.890000343322754,9.3100004196167,2.109999895095825,46.52000045776367
13,2015-01-21,18.837465286254883,30.350000381469727,8.908650398254395,5.810896873474121,5.851448059082031,9.460000038146973,9.899999618530272,2.109999895095825,47.810001373291016
14,2015-01-22,18.931129455566406,30.420000076293945,8.751322746276855,5.8405442237854,5.912590980529785,9.8100004196167,10.229999542236328,2.119999885559082,48.119998931884766
15,2015-01-23,18.749311447143555,30.14999961853028,8.711991310119629,5.637954235076904,5.869791030883789,9.520000457763672,9.979999542236328,2.0999999046325684,47.29999923706055
16,2015-01-26,18.969696044921875,29.96999931335449,8.70215892791748,5.558894157409668,5.863676071166992,9.539999961853027,9.829999923706056,2.119999885559082,47.18999862670898
17,2015-01-27,18.8980712890625,29.57999992370605,8.544831275939941,5.662660121917725,5.863676071166992,9.640000343322754,10.140000343322754,2.0999999046325684,47.34000015258789
18,2015-01-28,18.51239585876465,28.90999984741211,8.426836013793945,5.796072959899902,5.74138879776001,8.630000114440918,9.109999656677246,2.049999952316284,46.33000183105469
19,2015-01-29,18.38567352294922,29.520000457763672,8.476000785827637,6.122194766998291,5.704702854156494,8.470000267028809,8.670000076293945,2.009999990463257,46.380001068115234
20,2015-01-30,18.1267204284668,29.790000915527344,8.603829383850098,5.885015964508057,5.58853006362915,8.039999961853027,8.300000190734863,2.009999990463257,45.61000061035156
21,2015-02-02,18.358125686645508,29.979999542236328,8.358004570007324,6.166666030883789,5.643558979034424,8.569999694824219,8.789999961853027,2.0299999713897705,46.27000045776367
22,2015-02-03,18.87052345275879,30.26000022888184,8.171178817749023,6.043135166168213,5.826990127563477,9.789999961853027,9.970000267028809,2.0799999237060547,47.63999938964844
23,2015-02-04,19.56473731994629,30.190000534057617,8.2990083694458,5.973958015441895,6.0409932136535645,9.899999618530272,10.020000457763672,2.0199999809265137,47.77000045776367
24,2015-02-05,19.39944839477539,30.13999938964844,8.289175033569336,5.865251064300537,6.0409932136535645,9.65999984741211,9.829999923706056,2.0299999713897705,47.880001068115234
25,2015-02-06,19.355371475219727,29.32999992370605,8.259675979614258,5.667601108551025,6.114365100860596,9.029999732971191,9.119999885559082,2.0199999809265137,47.29999923706055
26,2015-02-09,19.47658348083496,30.049999237060547,8.358004570007324,5.697248935699463,6.0715651512146,9.199999809265137,9.399999618530272,2.049999952316284,47.91999816894531
27,2015-02-10,19.228649139404297,29.309999465942383,8.102349281311035,5.53912878036499,5.992077827453613,8.829999923706055,8.90999984741211,2.069999933242798,47.15999984741211
28,2015-02-11,18.44627952575684,29.489999771118164,7.905690193176269,5.578659057617188,5.760779857635498,8.850000381469727,9.079999923706056,2.0899999141693115,46.95000076293945
29,2015-02-12,18.931129455566406,30.25,7.699197769165039,5.82572078704834,5.834321975708008,9.369999885559082,9.449999809265137,2.0899999141693115,48.130001068115234
30,2015-02-13,19.559228897094727,29.989999771118164,7.964686870574951,5.909721851348877,6.036561965942383,9.779999732971191,10.029999732971191,2.0999999046325684,49.38999938964844
31,2015-02-18,19.67493057250977,30.290000915527344,8.171178817749023,6.122194766998291,6.128489971160889,9.949999809265137,10.039999961853027,2.0999999046325684,49.90999984741211
32,2015-02-19,19.66942024230957,31.600000381469727,8.387503623962402,6.09254789352417,6.116232872009277,9.640000343322754,9.710000038146973,2.0999999046325684,49.79999923706055
