Price,Close,High,Low,Open,Volume
Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA
Date,,,,,
2015-01-02,12.569838523864746,12.933967014124702,12.454655397226555,12.725893995377428,22832373
2015-01-05,12.633004188537598,12.763049472406301,12.276306774046404,12.37291220589573,25885620
2015-01-06,12.837356567382812,12.837356567382812,12.495521445206668,12.632999167565991,30498134
2015-01-07,13.301809310913086,13.502451246692537,13.004561946243362,13.004561946243362,25962086
2015-01-08,13.509880065917969,13.5618990181175,13.086303031181947,13.376119269397167,23543326
2015-01-09,12.919106483459473,13.431856601769216,12.881949672997509,13.39470120621188,18770294
2015-01-12,12.606990814208984,12.978550291264732,12.588413123337018,12.855936116605648,22394540
2015-01-13,12.592132568359375,12.926535352519236,12.592132568359375,12.711032656638231,28128289
2015-01-14,12.677589416503906,12.867084722533866,12.447223184230134,12.484378571724509,24772372
2015-01-15,12.566123008728027,13.064012322016097,12.562407469632761,12.707314909252634,26991881
2015-01-16,12.759331703186035,12.826211395535394,12.484377612148256,12.599560719431919,28278625
2015-01-19,12.298599243164062,12.829926901777524,12.242864751442024,12.673872871783397,16880407
2015-01-20,12.339473724365234,12.547546767626665,12.246583821312315,12.502958878410862,18430889
2015-01-21,12.703598976135254,12.792773326560237,12.324609755459589,12.521536151209673,28614836
2015-01-22,12.766765594482422,13.004562938398674,12.696168933202323,12.852224412894223,27470642
2015-01-23,12.644146919250488,13.004558347165252,12.52524687436526,12.852219875443597,22724362
2015-01-26,12.792769432067871,12.81877819701021,12.488091083745664,12.584696482721192,19665924
2015-01-27,12.744470596313477,12.844791557983287,12.469516482687686,12.744470596313477,25467354
2015-01-28,12.484376907348633,12.863367468882782,12.48066136909454,12.595844469875594,23041207
2015-01-29,12.398917198181152,12.647862487558173,12.190845656393,12.595843540933114,23639957
2015-01-30,12.224286079406738,12.291167188873073,12.064516505270856,12.157406384844663,37165047
2015-02-02,12.380339622497559,12.40263285058367,12.131395745727897,12.34318424235404,23341281
2015-02-03,12.725897789001465,12.881951892129841,12.662732190768033,12.81507075370061,36259035
2015-02-04,13.19405460357666,13.272082321730236,12.633001253309997,12.714743094809414,49577886
2015-02-05,13.082589149475098,13.294377693662266,13.0045614187471,13.134606693357524,38378519
2015-02-06,13.05285930633545,13.119738977266442,12.855933001008895,13.004555906870417,34340997
2015-02-09,13.134605407714844,13.175477745954726,12.933964914617382,12.933964914617382,24914722
2015-02-10,12.967401504516602,13.24607106562728,12.967401504516602,13.153181211923721,24543174
2015-02-11,12.748198509216309,13.136583578414832,12.607313857152556,13.071853458539673,24668953
2015-02-12,13.083276748657227,13.148006870154124,12.831968671115913,12.885275829995711,23247046
2015-02-13,13.517354965209961,13.524970273529629,13.117545478497254,13.167046432557635,24965633
2015-02-18,13.597311973571777,13.84100464694796,13.521157469398473,13.787697509014041,23180562
2015-02-19,13.593505859375,13.734390475556237,13.460235099492637,13.54400491856614,15641778
2015-02-20,13.665853500366211,13.715354449257443,13.429776067143875,13.707739141733008,12257112
2015-02-23,13.799123764038086,13.8943151045204,13.456429138372396,13.456429138372396,18899268
2015-02-24,13.943816184997559,13.943816184997559,13.631584235280451,13.890507583834953,20402433
2015-02-25,13.978084564208984,13.978084564208984,13.688699996836386,13.764853067206912,16838880
2015-02-26,14.04662036895752,14.046620368957518,13.776272684798098,13.993311782651766,15142254
2015-02-27,13.898126602172852,14.30554995956574,13.81054910386094,14.050434223162963,37550172
2015-03-02,13.8352689743042,13.991449836869888,13.717181748026336,13.865742722871834,23308538
2015-03-03,13.94193172454834,13.94193172454834,13.70956643756897,13.823844471338802,16400249
2015-03-04,13.820033073425293,13.880980574853359,13.686707512894632,13.762893340258097,32880757
2015-03-05,13.698136329650879,13.903837043767421,13.568621441282998,13.797177467950634,42206608
2015-03-06,13.332449913024902,13.774325236707364,13.202934982045358,13.606718105609964,35924222
2015-03-09,12.985804557800293,13.225788283064487,12.7458208325361,13.027705971533258,40011856
2015-03-10,12.475361824035645,12.970567599798676,12.475361824035645,12.780103728306848,60602359
2015-03-11,12.898191452026367,12.917237549756118,12.570594219338675,12.582021877976524,51450803
2015-03-12,12.951521873474121,13.100082885165962,12.871526813065294,13.027706263788582,31629750
2015-03-13,12.88676643371582,12.913430976000683,12.620118109709287,12.65440109264697,38321220
2015-03-16,12.88676643371582,13.054373578656767,12.730585499175149,12.97057073147577,22000631
2015-03-17,13.25626277923584,13.25626277923584,12.860098177387293,12.947711670170552,35689833
2015-03-18,13.656231880187988,13.713371605480644,13.084841880152357,13.195310661845186,34517288
2015-03-19,13.572429656982422,13.648615485243134,13.362919717199262,13.61814173417021,20993197
2015-03-20,13.686697959899902,13.888589318621696,13.65622423045582,13.713363923740848,33596303
2015-03-23,13.599098205566406,13.751468440257963,13.393397445856666,13.671473378020025,20072811
2015-03-24,13.515290260314941,13.74765549426027,13.36672783491638,13.59909451943999,23189946
